timestamp,open,high,low,close,volume
1758310740,6722.5,6723,6720.5,6721.5,6177
1758310920,6721.5,6721.75,6719.75,6720,6436
1758311100,6720,6725,6719.75,6725,12480
1758311280,6724.75,6727.5,6723.25,6727.5,22496
1758311460,6727.5,6728.25,6723.75,6726.25,20611
1758311640,6726.25,6731.5,6725.75,6725.75,33898
1758311820,6725.75,6728.25,6720.5,6721.75,99425
1758312000,6721.75,6723.25,6720.25,6721.75,28773
1758312180,6721.75,6724.75,6721.5,6722.5,6607
1758312360,6722.25,6722.75,6720.75,6721,4795
1758312540,6721,6722.25,6720.75,6722,4461
1758312720,6722.25,6722.25,6720,6721.5,4524
1758312900,6721.5,6721.5,6718,6718.75,3866
1758313080,6718.75,6720,6718.75,6718.75,1607
1758313260,6718.75,6719.75,6718.25,6719.5,1966
1758313440,6719.5,6719.75,6718.5,6718.5,981
1758313620,6718.5,6718.75,6718,6718.5,1420
1758313800,6718.75,6719.5,6718.25,6718.75,1131
1758313980,6718.75,6721,6718.75,6720.25,1345
1758314160,6720.25,6721,6720,6720.5,841
1758314340,6720.75,6721.75,6720.5,6720.75,1302
1758314520,6720.75,6721.5,6720.5,6720.5,1239
1758314700,6720.75,6721.25,6720.25,6720.25,677
1758314880,6720,6720,6718.25,6718.25,1586
1758315060,6718.25,6719.5,6718,6718.75,994
1758315240,6718.75,6719.5,6718.5,6719,1057
1758315420,6718.75,6719.75,6718.5,6719.75,1076
1758492000,6716,6721.25,6715.75,6717.5,1241
1758492180,6717.75,6718.25,6715.75,6716.25,427
1758492360,6716.5,6717.25,6714.5,6716.75,521
1758492540,6716.75,6716.75,6714.25,6715.75,418
1758492720,6715.75,6716,6714,6714,189
1758492900,6714.25,6714.25,6712.75,6713.5,443
1758493080,6713.5,6714.5,6713,6713.5,198
1758493260,6713.75,6714,6712.25,6713.75,190
1758493440,6713.5,6715.25,6713.5,6714.75,223
1758493620,6715,6715.25,6713.75,6714.75,157
1758493800,6714.75,6715,6714,6714.25,249
1758493980,6714.25,6717,6714.25,6716.75,575
1758494160,6716.75,6717.5,6715.5,6716.5,317
1758494340,6716.5,6717,6716,6716.75,228
1758494520,6716.75,6717.75,6716,6717.5,179
1758494700,6717.5,6719.25,6717,6718.25,639
1758494880,6718.25,6718.25,6716.5,6717,201
1758495060,6717,6717.5,6717,6717.25,75
1758495240,6717.25,6717.75,6716.25,6716.75,191
1758495420,6716.5,6717,6716.25,6716.5,92
1758495600,6716.5,6717,6716,6716.5,146
1758495780,6716.5,6716.75,6716,6716.5,114
1758495960,6716.75,6717,6715,6715.25,347
1758496140,6715.5,6716,6715,6715.5,164
1758496320,6715.5,6717.25,6715.25,6716,206
1758496500,6716,6716.25,6715.5,6715.75,67
1758496680,6715.5,6716.5,6715.5,6715.75,103
1758496860,6715.75,6715.75,6714.75,6715,187
1758497040,6715.25,6716,6714.5,6715,167
1758497220,6715.25,6716.5,6715.25,6716,77
1758497400,6716,6716,6715,6715.25,51
1758497580,6715.25,6715.25,6714.5,6714.75,79
1758497760,6715,6715.5,6715,6715.25,124
1758497940,6715.5,6715.5,6714.5,6715,67
1758498120,6715,6715.25,6714.75,6715.25,83
1758498300,6715,6715.75,6714.5,6714.5,178
1758498480,6714.5,6715.75,6714.25,6715.5,149
1758498660,6715.25,6715.5,6714,6715.25,163
1758498840,6715,6715.25,6714.75,6715,59
1758499020,6715,6715.25,6714.5,6714.75,81
1758499200,6714.75,6716,6714.25,6715.75,486
1758499380,6715.75,6717.75,6715.75,6717.75,571
